,id,stack_id,rowrange,depth,heightrange,terminalstopoveraction_id,put_handling_id,put_correction_id,pull_handling_id,pull_correction_id,yardmovehandling_id,container_number,container_relative_marker_position,container_height,marker_id,reachstacker_moves,crane_moves,locationinformation_id,straddlecarrier_moves
0,3920629,2352069,"[10,12202)",0,"[0,2896)",3122918,3920475.0,,5347663.0,,,,1,0,,0.0,0.0,3920628.0,0.0
1,4159223,2351021,"[12202,24394)",0,"[0,2896)",3119380,4159212.0,,3119385.0,,,,1,0,,0.0,0.0,4159222.0,0.0
2,8281557,2352127,"[0,1)",0,"[0,1)",8223917,,8281555.0,8238361.0,,,,1,0,,,,,
3,4146707,2351245,"[61002,73194)",0,"[0,2621)",3106620,4146688.0,,6423134.0,,,,1,0,,0.0,0.0,4146706.0,0.0
4,5620843,2387709,"[0,1)",0,"[0,1)",5563630,5614146.0,,5563627.0,,,,1,0,,0.0,0.0,5620842.0,0.0
5,4131342,2350929,"[2,6098)",0,"[5242,7863)",3125580,4131327.0,,,4906863.0,,,1,0,,0.0,0.0,4131341.0,0.0
6,3559035,2351477,"[36602,42698)",0,"[0,2621)",3119416,,3559033.0,3119421.0,,,,1,0,,0.0,0.0,3559034.0,0.0
7,3274225,2352135,"[0,1)",0,"[0,1)",3237721,3237717.0,,,3295559.0,,,1,0,,0.0,0.0,3274226.0,0.0
8,7492246,2351390,"[48802,54898)",0,"[0,2621)",3367424,7492206.0,,7621339.0,,,,1,0,,0.0,0.0,7492245.0,0.0
9,7102088,2351316,"[24402,36594)",0,"[0,2896)",4780636,7101846.0,,7211763.0,,,,1,0,,0.0,0.0,7102087.0,0.0
10,4136119,2350838,"[18302,24398)",0,"[2621,5242)",3161008,4136102.0,,5571842.0,,,,1,0,,0.0,0.0,4136118.0,0.0
11,4139264,2351513,"[24406,36598)",0,"[2896,5792)",3100728,4139252.0,,5759962.0,,,,1,0,,0.0,0.0,4139263.0,0.0
12,8886231,2350838,"[36602,42698)",0,"[2621,5242)",3161008,8886147.0,,8887042.0,,,,1,0,,0.0,0.0,8886230.0,0.0
13,4136244,2351435,"[30502,36598)",0,"[5242,7863)",3108147,4136228.0,,6166356.0,,,,1,0,,0.0,0.0,4136243.0,0.0
14,6096768,2351399,"[61002,73194)",0,"[2621,5242)",5360377,5360374.0,,,6515799.0,,,1,0,,0.0,0.0,6096773.0,0.0
15,4143577,2351579,"[12206,24398)",0,"[0,2896)",3254929,4143555.0,,,6515800.0,,,1,0,,1.0,1.0,4143576.0,1.0
16,3185827,2352035,"[30502,36598)",0,"[0,2621)",3123053,,3185825.0,,3560522.0,,,1,0,,0.0,0.0,3185826.0,0.0
17,6661705,2387709,"[0,1)",0,"[0,1)",6527347,6658960.0,,6527344.0,,,,1,0,,0.0,0.0,6661704.0,0.0
18,3581384,2352135,"[0,1)",0,"[0,1)",3126605,3126601.0,,3581383.0,,,,1,0,,0.0,0.0,3581385.0,0.0
19,3351476,2351831,"[48802,60994)",0,"[0,2896)",3128674,3336561.0,,,3370391.0,,,1,0,,0.0,0.0,3351475.0,0.0
20,3569904,2352137,"[0,1)",0,"[0,1)",3125745,3125741.0,,3569903.0,,,,1,0,,0.0,0.0,3569905.0,0.0
21,3384845,2352137,"[0,1)",0,"[0,1)",3128790,3128786.0,,3384844.0,,,,1,0,,0.0,0.0,3384846.0,0.0
22,3581066,2352135,"[0,1)",0,"[0,1)",3126704,3126700.0,,3581065.0,,,,1,0,,0.0,0.0,3581068.0,0.0
23,3389404,2352137,"[0,1)",0,"[0,1)",3127433,3127429.0,,3389403.0,,,,1,0,,0.0,0.0,3389406.0,0.0
24,3668039,2352135,"[0,1)",0,"[0,1)",3128228,3128224.0,,3668038.0,,,,1,0,,0.0,0.0,3668040.0,0.0
25,3416802,2352137,"[0,1)",0,"[0,1)",3128591,3128587.0,,3416801.0,,,,1,0,,0.0,0.0,3416803.0,0.0
26,4136072,2351435,"[24402,30498)",0,"[5242,7863)",3108256,4136053.0,,5426217.0,,,,1,0,,0.0,0.0,4136071.0,0.0
27,3333150,2352135,"[0,1)",0,"[0,1)",3238386,3238382.0,,3333149.0,,,,1,0,,0.0,0.0,3333151.0,0.0
28,3670699,2352135,"[0,1)",0,"[0,1)",3125547,3125543.0,,,3954320.0,,,1,0,,0.0,0.0,3670700.0,0.0
29,4139348,2351390,"[30502,36598)",0,"[0,2621)",3105556,4139327.0,,4139468.0,,,,1,0,,0.0,0.0,4139347.0,0.0
30,3931930,2352135,"[0,1)",0,"[0,1)",3237515,3237511.0,,3931972.0,,,,1,0,,0.0,0.0,3931931.0,0.0
31,3931422,2352135,"[0,1)",0,"[0,1)",3238058,3238054.0,,3931470.0,,,,1,0,,0.0,0.0,3931423.0,0.0
32,3670000,2352135,"[0,1)",0,"[0,1)",3128823,3128819.0,,3669999.0,,,,1,0,,0.0,0.0,3670001.0,0.0
33,4131021,2352002,"[2,13718)",0,"[0,2621)",3129237,4131001.0,,3129240.0,,,,1,0,,0.0,0.0,4131020.0,0.0
34,3194207,2351500,"[6102,19818)",0,"[0,2621)",3175093,,3194205.0,,4014334.0,,,1,0,,0.0,0.0,3194206.0,0.0
35,3186619,2350896,"[2,13718)",0,"[2621,5242)",3113655,,3186617.0,3113652.0,,,,1,0,,0.0,0.0,3186618.0,0.0
36,4153680,2351100,"[2,12194)",0,"[0,2621)",3205452,4153653.0,,4153765.0,,,,1,0,,0.0,0.0,4153679.0,0.0
37,3671885,2352135,"[0,1)",0,"[0,1)",3126406,3126402.0,,3671884.0,,,,1,0,,0.0,0.0,3671886.0,0.0
38,4143659,2351326,"[38118,50310)",0,"[0,2621)",3113395,4143641.0,,4165985.0,,,,1,0,,0.0,0.0,4143658.0,0.0
39,3185483,2350896,"[2,13718)",0,"[0,2621)",3114128,,3185481.0,3114133.0,,,,1,0,,0.0,0.0,3185482.0,0.0
40,3186652,2351698,"[48802,62518)",0,"[2621,5242)",3115270,,3186650.0,3115267.0,,,,1,0,,0.0,0.0,3186651.0,0.0
41,3860668,2352135,"[0,1)",0,"[0,1)",3128955,3128951.0,,3862033.0,,,,1,0,,0.0,0.0,3860669.0,0.0
42,3826486,2352137,"[0,1)",0,"[0,1)",3668413,3668409.0,,,3826903.0,,,1,0,,0.0,0.0,3826487.0,0.0
43,3931549,2352135,"[0,1)",0,"[0,1)",3238981,3238977.0,,3931590.0,,,,1,0,,0.0,0.0,3931552.0,0.0
44,3878000,2352135,"[0,1)",0,"[0,1)",3238718,3238714.0,,3878051.0,,,,1,0,,0.0,0.0,3878001.0,0.0
45,3828671,2352137,"[0,1)",0,"[0,1)",3668418,3668414.0,,3829131.0,,,,1,0,,0.0,0.0,3828672.0,0.0
46,3931662,2352135,"[0,1)",0,"[0,1)",3237381,3237377.0,,3931723.0,,,,1,0,,0.0,0.0,3931663.0,0.0
47,3940273,2351426,"[54902,60998)",0,"[5242,7863)",3128889,3867138.0,,3940338.0,,,,1,0,,0.0,0.0,3940272.0,1.0
48,3838659,2351853,"[6,12198)",0,"[5242,7863)",3668573,3838648.0,,3936545.0,,,,1,0,,0.0,0.0,3838658.0,0.0
49,3940419,2351920,"[24402,30498)",0,"[2621,5242)",3128658,3940401.0,,,3951896.0,,,1,0,,0.0,0.0,3940418.0,0.0
50,3461749,2351764,"[67102,73198)",0,"[0,2621)",3205079,,3461747.0,,4014335.0,,,1,0,,0.0,0.0,3461748.0,0.0
51,3221192,2352026,"[2,12194)",0,"[0,2926)",3174814,3174811.0,,,4014336.0,,,1,0,,0.0,0.0,3221191.0,0.0
52,3257113,2352131,"[0,1)",0,"[0,1)",3168363,3168360.0,,,4014337.0,,,1,0,,0.0,0.0,3257112.0,0.0
53,10724737,2351477,"[61002,67098)",0,"[2621,5242)",3666967,10724722.0,,13989357.0,,,,1,0,,0.0,0.0,10724736.0,0.0
54,3194237,2351500,"[6102,19818)",0,"[2621,5242)",3168363,,3194235.0,3168360.0,,,,1,0,,0.0,0.0,3194236.0,0.0
55,3185833,2352080,"[36602,48794)",0,"[0,2926)",3123197,,3185831.0,,3561140.0,,,1,0,,0.0,0.0,3185832.0,0.0
56,3275973,2352135,"[0,1)",0,"[0,1)",3234676,3234671.0,,3275972.0,,,,1,0,,0.0,0.0,3275974.0,0.0
57,8281589,2387709,"[0,1)",0,"[0,1)",8223917,8238361.0,,8223914.0,,,,1,0,,0.0,0.0,8281588.0,0.0
58,4139306,2351513,"[24406,36598)",0,"[5792,8688)",3101184,4139291.0,,5126165.0,,,,1,0,,0.0,0.0,4139305.0,0.0
59,4159034,2351034,"[2,12194)",0,"[5792,8688)",3105661,4159016.0,,5381800.0,,,,1,0,,0.0,0.0,4159033.0,0.0
60,4131104,2351999,"[6102,12198)",0,"[0,2621)",3167798,4131068.0,,,4674048.0,,,1,0,,0.0,0.0,4131103.0,0.0
61,3336562,2352137,"[0,1)",0,"[0,1)",3128674,3128670.0,,3336561.0,,,,1,0,,0.0,0.0,3336563.0,0.0
62,6005454,2352137,"[0,1)",0,"[0,1)",3107338,5956354.0,,3107343.0,,,,1,0,,0.0,0.0,6005455.0,0.0
63,4143460,2351579,"[24406,36598)",0,"[0,2896)",3199826,4143433.0,,,6515818.0,,,1,0,,1.0,1.0,4143459.0,1.0
64,3185353,2351698,"[48802,62518)",0,"[0,2621)",3110188,,3185351.0,3110193.0,,,,1,0,,0.0,0.0,3185352.0,0.0
65,3647292,2352135,"[0,1)",0,"[0,1)",3124931,3124927.0,,3647291.0,,,,1,0,,0.0,0.0,3647293.0,0.0
66,3390046,2352137,"[0,1)",0,"[0,1)",3127632,3127628.0,,3390045.0,,,,1,0,,0.0,0.0,3390047.0,0.0
67,7102127,2351316,"[24402,36594)",0,"[2896,5517)",3213625,7101847.0,,7230988.0,,,,1,0,,0.0,0.0,7102126.0,0.0
68,4153627,2351764,"[67102,73198)",0,"[0,2621)",3205079,4153604.0,,,6515822.0,,,1,0,,0.0,0.0,4153626.0,0.0
69,4125549,2351976,"[18302,30494)",0,"[0,2896)",3163080,4125494.0,,,9262336.0,,,1,0,,0.0,0.0,4125548.0,0.0
70,3672158,2352135,"[0,1)",0,"[0,1)",3128757,3128753.0,,3672157.0,,,,1,0,,0.0,0.0,3672159.0,0.0
71,3185720,2351417,"[48802,54898)",0,"[0,2621)",3119579,,3185718.0,3119576.0,,,,1,0,,0.0,0.0,3185719.0,0.0
72,4134388,2351463,"[54902,60998)",0,"[2621,5242)",3222223,4134378.0,,6192267.0,,,,1,0,,0.0,0.0,4134387.0,0.0
73,4139284,2351390,"[36602,42698)",0,"[0,2621)",3207065,4139268.0,,4139536.0,,,,1,0,,0.0,0.0,4139283.0,0.0
74,3838769,2352129,"[0,1)",0,"[0,1)",3668568,3838718.0,,3832412.0,,,,1,0,,0.0,0.0,3838768.0,0.0
75,3829163,2351853,"[6,12198)",0,"[0,2896)",3668418,3829131.0,,3829471.0,,,,1,0,,0.0,0.0,3829162.0,0.0
76,3417035,2352137,"[0,1)",0,"[0,1)",3126904,3126900.0,,3417034.0,,,,1,0,,0.0,0.0,3417036.0,0.0
77,3418852,2352137,"[0,1)",0,"[0,1)",3127118,3127114.0,,3418851.0,,,,1,0,,0.0,0.0,3418853.0,0.0
78,3419003,2352137,"[0,1)",0,"[0,1)",3129032,3129028.0,,3419002.0,,,,1,0,,0.0,0.0,3419004.0,0.0
79,3419122,2352137,"[0,1)",0,"[0,1)",3127003,3126999.0,,3419121.0,,,,1,0,,0.0,0.0,3419123.0,0.0
80,3419285,2352137,"[0,1)",0,"[0,1)",3128967,3128963.0,,3419284.0,,,,1,0,,0.0,0.0,3419286.0,0.0
81,3419412,2352137,"[0,1)",0,"[0,1)",3129169,3129165.0,,3419411.0,,,,1,0,,0.0,0.0,3419413.0,0.0
82,3392024,2352135,"[0,1)",0,"[0,1)",3235939,3235933.0,,3392023.0,,,,1,0,,0.0,0.0,3392025.0,0.0
83,3862384,2351426,"[61002,67098)",0,"[5242,7863)",3128955,3862171.0,,3862436.0,,,,1,0,,0.0,0.0,3862383.0,0.0
84,3444944,2351399,"[54902,60998)",0,"[0,2621)",3211232,,3444942.0,,3444999.0,,,1,0,,0.0,0.0,3444943.0,0.0
85,3186958,2351500,"[24402,38118)",0,"[7863,10484)",3175255,,3186956.0,3175252.0,,,,1,0,,0.0,0.0,3186957.0,0.0
86,3861654,2351326,"[24402,36594)",0,"[0,2926)",3114046,3672524.0,,3114051.0,,,,1,0,,0.0,0.0,3861653.0,0.0
87,3186079,2351500,"[24402,38118)",0,"[2621,5242)",3174760,,3186077.0,3174757.0,,,,1,0,,0.0,0.0,3186078.0,0.0
88,3186962,2351500,"[48802,62518)",0,"[7863,10484)",3168028,,3186960.0,3168025.0,,,,1,0,,0.0,0.0,3186961.0,0.0
89,3186083,2351500,"[48802,62518)",0,"[2621,5242)",3166505,,3186081.0,3166502.0,,,,1,0,,0.0,0.0,3186082.0,0.0
90,3839401,2352137,"[0,1)",0,"[0,1)",3679030,3679026.0,,3843645.0,,,,1,0,,0.0,0.0,3839402.0,0.0
91,3840344,2352137,"[0,1)",0,"[0,1)",3678794,3678790.0,,3843966.0,,,,1,0,,0.0,0.0,3840346.0,0.0
92,3839963,2352137,"[0,1)",0,"[0,1)",3678704,3678700.0,,3844147.0,,,,1,0,,0.0,0.0,3839964.0,0.0
93,3840263,2352137,"[0,1)",0,"[0,1)",3678662,3678658.0,,3844459.0,,,,1,0,,0.0,0.0,3840265.0,0.0
94,3841757,2352137,"[0,1)",0,"[0,1)",3668713,3668709.0,,3845858.0,,,,1,0,,0.0,0.0,3841758.0,0.0
95,4131295,2351996,"[2,13718)",0,"[0,2621)",3128029,4131273.0,,3128032.0,,,,1,0,,0.0,0.0,4131294.0,0.0
96,3920830,2351887,"[12206,24398)",0,"[5792,8688)",3122918,3920788.0,,3920899.0,,,,1,0,,0.0,0.0,3920829.0,0.0
97,3570301,2351764,"[61002,67098)",0,"[0,2621)",3125745,3569903.0,,,4014356.0,,,1,0,,0.0,0.0,3570300.0,0.0
98,3963671,2352135,"[0,1)",0,"[0,1)",3111094,3111088.0,,3111103.0,,,,1,0,,0.0,0.0,3963672.0,0.0
99,3647189,2351777,"[4582,18298)",0,"[2621,5242)",3124944,3644930.0,,,4014338.0,,,1,0,,1.0,1.0,3647188.0,1.0
100,3330112,2351831,"[2,13718)",0,"[0,2621)",3237721,3274224.0,,,4014339.0,,,1,0,,2.0,2.0,3330111.0,2.0
101,3940354,2351426,"[61002,67098)",0,"[5242,7863)",3128889,3940338.0,,,4014340.0,,,1,0,,0.0,0.0,3940353.0,1.0
102,3332451,2351831,"[2,13718)",0,"[5242,7863)",3235185,3292770.0,,,4014341.0,,,1,0,,0.0,0.0,3332450.0,0.0
103,3940360,2351426,"[54902,60998)",0,"[5242,7863)",3126390,3940340.0,,,4014342.0,,,1,0,,0.0,0.0,3940359.0,2.0
104,3335842,2350905,"[2,12194)",0,"[0,2926)",3129451,3289136.0,,,4014343.0,,,1,0,,2.0,2.0,3335841.0,2.0
105,3336319,2352135,"[0,1)",0,"[0,1)",3237757,3237750.0,,,4014344.0,,,1,0,,0.0,0.0,3336320.0,0.0
106,5622061,2387709,"[0,1)",0,"[0,1)",5558096,5613533.0,,5558093.0,,,,1,0,,0.0,0.0,5622060.0,0.0
107,4136191,2351435,"[30502,36598)",0,"[2621,5242)",3108003,4136169.0,,6192261.0,,,,1,0,,0.0,0.0,4136190.0,0.0
108,3194303,2351500,"[6102,19818)",0,"[5242,7863)",3175093,,3194301.0,3175090.0,,,,1,0,,0.0,0.0,3194302.0,0.0
109,3467119,2352135,"[0,1)",0,"[0,1)",3126439,3126435.0,,3467118.0,,,,1,0,,0.0,0.0,3467120.0,0.0
110,3186826,2352103,"[2,12194)",0,"[2926,5822)",3123596,,3186824.0,,3563099.0,,,1,0,,0.0,0.0,3186825.0,0.0
111,3278207,2352135,"[0,1)",0,"[0,1)",3234761,3234755.0,,,3335979.0,,,1,0,,0.0,0.0,3278208.0,0.0
112,4150024,2351685,"[6,12198)",0,"[2621,5517)",3109236,4150010.0,,6340801.0,,,,1,0,,0.0,0.0,4150023.0,0.0
113,17764212,2352131,"[0,1)",0,"[0,1)",17674151,17762207.0,,,,,,1,0,,0.0,0.0,17764211.0,0.0
114,3185818,2352103,"[2,12194)",0,"[0,2926)",3122932,,3185816.0,,3563106.0,,,1,0,,1.0,1.0,3185817.0,1.0
115,4498532,2352137,"[0,1)",0,"[0,1)",3119936,4498510.0,,3119945.0,,,,1,0,,0.0,0.0,4498533.0,0.0
116,3581555,2352135,"[0,1)",0,"[0,1)",3127731,3127727.0,,3581554.0,,,,1,0,,0.0,0.0,3581556.0,0.0
117,4745042,2387709,"[0,1)",0,"[0,1)",4714742,4743957.0,,4714739.0,,,,1,0,,0.0,0.0,4745041.0,0.0
118,3571390,2352135,"[0,1)",0,"[0,1)",3128277,3128273.0,,3571389.0,,,,1,0,,0.0,0.0,3571391.0,0.0
119,4150051,2351685,"[6,12198)",0,"[5517,8413)",3104828,4150040.0,,5181081.0,,,,1,0,,0.0,0.0,4150050.0,0.0
120,4136295,2350829,"[12202,24394)",0,"[0,2621)",3163546,4136272.0,,,,,,1,0,,0.0,0.0,4136294.0,0.0
