Unnamed: 0,recipe,nutrition,value
0,Kruidnoten met choco-discodip,energie,260 kcal
1,Kruidnoten met choco-discodip,koolhydraten,34 g
2,Kruidnoten met choco-discodip,waarvan suikers,22 g
3,Kruidnoten met choco-discodip,natrium,200 mg
4,Kruidnoten met choco-discodip,eiwit,3 g
5,Kruidnoten met choco-discodip,vet,12 g
6,Kruidnoten met choco-discodip,waarvan verzadigd,7 g
7,Kruidnoten met choco-discodip,vezels,1 g
8,Kruidnoten in marsepein,energie,265 kcal
9,Kruidnoten in marsepein,koolhydraten,43 g
10,Kruidnoten in marsepein,waarvan suikers,34 g
11,Kruidnoten in marsepein,natrium,120 mg
12,Kruidnoten in marsepein,eiwit,3 g
13,Kruidnoten in marsepein,vet,9 g
14,Kruidnoten in marsepein,waarvan verzadigd,4 g
15,Kruidnoten in marsepein,vezels,1 g
16,Kruidnoten met chocodips,energie,335 kcal
17,Kruidnoten met chocodips,koolhydraten,35 g
18,Kruidnoten met chocodips,waarvan suikers,23 g
19,Kruidnoten met chocodips,natrium,160 mg
20,Kruidnoten met chocodips,eiwit,5 g
21,Kruidnoten met chocodips,vet,18 g
22,Kruidnoten met chocodips,waarvan verzadigd,10 g
23,Kruidnoten met chocodips,vezels,6 g
24,Pepernotentaart met marsepeinstrik,energie,560 kcal
25,Pepernotentaart met marsepeinstrik,koolhydraten,60 g
26,Pepernotentaart met marsepeinstrik,waarvan suikers,39 g
27,Pepernotentaart met marsepeinstrik,natrium,240 mg
28,Pepernotentaart met marsepeinstrik,eiwit,5 g
29,Pepernotentaart met marsepeinstrik,vet,33 g
30,Pepernotentaart met marsepeinstrik,waarvan verzadigd,21 g
31,Pepernotentaart met marsepeinstrik,vezels,1 g
32,Perencake,energie,265 kcal
33,Perencake,koolhydraten,36 g
34,Perencake,waarvan suikers,21 g
35,Perencake,natrium,120 mg
36,Perencake,eiwit,5 g
37,Perencake,vet,11 g
38,Perencake,waarvan verzadigd,2 g
39,Perencake,vezels,1 g
40,Massaman curry,energie,895 kcal
41,Massaman curry,koolhydraten,37 g
42,Massaman curry,waarvan suikers,15 g
43,Massaman curry,natrium,440 mg
44,Massaman curry,eiwit,47 g
45,Massaman curry,vet,61 g
46,Massaman curry,waarvan verzadigd,42 g
47,Massaman curry,vezels,5 g
48,Tartiflette,energie,675 kcal
49,Tartiflette,koolhydraten,42 g
50,Tartiflette,waarvan suikers,4 g
51,Tartiflette,natrium,840 mg
52,Tartiflette,eiwit,25 g
53,Tartiflette,vet,43 g
54,Tartiflette,waarvan verzadigd,28 g
55,Tartiflette,vezels,4 g
56,Carpaccio rolletjes,energie,35 kcal
57,Carpaccio rolletjes,koolhydraten,4 g
58,Carpaccio rolletjes,natrium,40 mg
59,Carpaccio rolletjes,eiwit,1 g
60,Carpaccio rolletjes,vet,2 g
61,Carpaccio rolletjes,waarvan verzadigd,0 g
62,Carpaccio rolletjes,vezels,1 g
63,Ajam pangang,energie,515 kcal
64,Ajam pangang,koolhydraten,16 g
65,Ajam pangang,waarvan suikers,14 g
66,Ajam pangang,natrium,1400 mg
67,Ajam pangang,eiwit,34 g
68,Ajam pangang,vet,35 g
69,Ajam pangang,waarvan verzadigd,13 g
70,Ajam pangang,vezels,1 g
71,Pepernotentaart,energie,385 kcal
72,Pepernotentaart,koolhydraten,42 g
73,Pepernotentaart,waarvan suikers,28 g
74,Pepernotentaart,natrium,200 mg
75,Pepernotentaart,eiwit,6 g
76,Pepernotentaart,vet,21 g
77,Pepernotentaart,waarvan verzadigd,13 g
78,Pepernotentaart,vezels,1 g
79,Appelkruimeltaart,energie,435 kcal
80,Appelkruimeltaart,koolhydraten,61 g
81,Appelkruimeltaart,waarvan suikers,32 g
82,Appelkruimeltaart,natrium,120 mg
83,Appelkruimeltaart,eiwit,6 g
84,Appelkruimeltaart,vet,18 g
85,Appelkruimeltaart,waarvan verzadigd,12 g
86,Appelkruimeltaart,vezels,3 g
87,Bloemkoolschotel,energie,765 kcal
88,Bloemkoolschotel,koolhydraten,48 g
89,Bloemkoolschotel,waarvan suikers,12 g
90,Bloemkoolschotel,natrium,560 mg
