Unnamed: 0,title,persons,time,calories,stars,url,image
0,Kruidnoten met choco-discodip,4,25,260,0,https://www.ah.nl/allerhande/recept/R-R1195893/kruidnoten-met-choco-discodip,https://static.ah.nl/static/recepten/img_RAM_PRD156799_1024x748_JPG.jpg
0,Kruidnoten in marsepein,4,25,265,0,https://www.ah.nl/allerhande/recept/R-R1195892/kruidnoten-in-marsepein,https://static.ah.nl/static/recepten/img_RAM_PRD156798_1024x748_JPG.jpg
0,Kruidnoten met chocodips,4,25,335,0,https://www.ah.nl/allerhande/recept/R-R1195891/kruidnoten-met-chocodips,https://static.ah.nl/static/recepten/img_RAM_PRD156800_1024x748_JPG.jpg
0,Pepernotentaart met marsepeinstrik,10,30,560,0,https://www.ah.nl/allerhande/recept/R-R1195887/pepernotentaart-met-marsepeinstrik,https://static.ah.nl/static/recepten/img_RAM_PRD156601_1024x748_JPG.jpg
0,Perencake,12,10,265,0,https://www.ah.nl/allerhande/recept/R-R1195790/perencake,https://static.ah.nl/static/recepten/img_RAM_PRD156335_1024x748_JPG.jpg
0,Massaman curry,4,75,895,0,https://www.ah.nl/allerhande/recept/R-R1195789/massaman-curry,https://static.ah.nl/static/recepten/img_RAM_PRD156333_1024x748_JPG.jpg
0,Tartiflette,6,40,675,0,https://www.ah.nl/allerhande/recept/R-R1195788/tartiflette,https://static.ah.nl/static/recepten/img_RAM_PRD156341_1024x748_JPG.jpg
0,Carpaccio rolletjes,16,10,35,0,https://www.ah.nl/allerhande/recept/R-R1195787/carpaccio-rolletjes,https://static.ah.nl/static/recepten/img_RAM_PRD156330_1024x748_JPG.jpg
0,Ajam pangang,4,45,515,0,https://www.ah.nl/allerhande/recept/R-R1195786/ajam-pangang,https://static.ah.nl/static/recepten/img_RAM_PRD156326_1024x748_JPG.jpg
0,Pepernotentaart,12,40,385,0,https://www.ah.nl/allerhande/recept/R-R1195785/pepernotentaart,https://static.ah.nl/static/recepten/img_RAM_PRD156359_1024x748_JPG.jpg
0,Appelkruimeltaart,12,30,435,0,https://www.ah.nl/allerhande/recept/R-R1195784/appelkruimeltaart,https://static.ah.nl/static/recepten/img_RAM_PRD156327_1024x748_JPG.jpg
0,Bloemkoolschotel,4,25,765,0,https://www.ah.nl/allerhande/recept/R-R1195783/bloemkoolschotel,https://static.ah.nl/static/recepten/img_RAM_PRD156328_1024x748_JPG.jpg
0,Tartelettes,10,25,215,0,https://www.ah.nl/allerhande/recept/R-R1195782/tartelettes,https://static.ah.nl/static/recepten/img_RAM_PRD156340_1024x748_JPG.jpg
0,Pico de gallo,8,10,30,0,https://www.ah.nl/allerhande/recept/R-R1195781/pico-de-gallo,https://static.ah.nl/static/recepten/img_RAM_PRD156336_1024x748_JPG.jpg
0,Pierogi,24,75,115,0,https://www.ah.nl/allerhande/recept/R-R1195780/pierogi,https://static.ah.nl/static/recepten/img_RAM_PRD156337_1024x748_JPG.jpg
0,Sajoer boontjes ,4,20,160,0,https://www.ah.nl/allerhande/recept/R-R1195779/sajoer-boontjes,https://static.ah.nl/static/recepten/img_RAM_PRD156338_1024x748_JPG.jpg
0,Koe loe kai ,4,45,785,0,https://www.ah.nl/allerhande/recept/R-R1195778/koe-loe-kai,https://static.ah.nl/static/recepten/img_RAM_PRD156332_1024x748_JPG.jpg
